"","V1"
"1","Staff very friendly and helpful  Impressed with the professionalism of the staff  Everything had quailty."
"2","international menu was very limited  I found your tours on offer did not cater for the single person,only couples or groups.  The music coming from Oasis was to loud in the evening,familys like to sleep around 9.00pm.  building site noise constant from 7.00am to 10.00pm,very irritating to say the least.  Should of a time limit for working being so close to a Hotel.  Not Hotel fault but driving me NUTS!!"
"3","Staff very friendly and helpful  Impressed with the professionalism of the staff  Everything had quailty."
"4","international menu was very limited  I found your tours on offer did not cater for the single person,only couples or groups.  The music coming from Oasis was to loud in the evening,familys like to sleep around 9.00pm.  building site noise constant from 7.00am to 10.00pm,very irritating to say the least.  Should of a time limit for working being so close to a Hotel.  Not Hotel fault but driving me NUTS!!"
"5","Third time we have visited this hotel. excellent service and fabulous spacious rooms. Would recommend to friends. "
"6","Kids club needs to be functional. back gate needs repairing so you can get easy access to beach. Really pleased you have made internet freely available as this was problematic in the past. "
"7","Third time we have visited this hotel. excellent service and fabulous spacious rooms. Would recommend to friends. "
"8","Kids club needs to be functional. back gate needs repairing so you can get easy access to beach. Really pleased you have made internet freely available as this was problematic in the past. "
"9","The room was basic clean and tidy on arrival. The catering staff were very pleasant, efficient and helpful as we purchased most of our own food on occasions and they cooked it for us "
"10","The carpet in the room was stained from a previous flooding from the bathrooom which also needed som regrouting of the tiles.  The ventilater extractor did not appear to be working.  The television was old and some fascilities did not work on it but we didn't go there to watch television.  The food in the restaurant was limited and repetitive . I asked on our application for "" Soya "" products due to a dietary problem with Dairy products but no notice was taken of my request.  So I obtained all products from a local supermarket within 200 yards of the hotel. I would suggest the Management staff spend a night at the Ramada Viking Hotel in Waterford and sample the breakfast and food on offer and the attention of the staff in every detail as the cost of a stay and for the food on offer is about the same but the difference in vast."
"11","The room was basic clean and tidy on arrival. The catering staff were very pleasant, efficient and helpful as we purchased most of our own food on occasions and they cooked it for us "
"12","The carpet in the room was stained from a previous flooding from the bathrooom which also needed som regrouting of the tiles.  The ventilater extractor did not appear to be working.  The television was old and some fascilities did not work on it but we didn't go there to watch television.  The food in the restaurant was limited and repetitive . I asked on our application for "" Soya "" products due to a dietary problem with Dairy products but no notice was taken of my request.  So I obtained all products from a local supermarket within 200 yards of the hotel. I would suggest the Management staff spend a night at the Ramada Viking Hotel in Waterford and sample the breakfast and food on offer and the attention of the staff in every detail as the cost of a stay and for the food on offer is about the same but the difference in vast."
"13","Personel at the reception were not polite and helpful. They couldn't speek basic english, in my opinion in 4 star hotel they should know even the basic words in english and they should to respond in english. Their welcome was unprofessional, no help and information about the basic things. Because of this personel i do not want to come back to this hotel. Thank You."
"14","Personel at the reception were not polite and helpful. They couldn't speek basic english, in my opinion in 4 star hotel they should know even the basic words in english and they should to respond in english. Their welcome was unprofessional, no help and information about the basic things. Because of this personel i do not want to come back to this hotel. Thank You."
"15","Other guests were noisy and loud especially at night.  At the breakfast the cheese was terrible."
"16","Other guests were noisy and loud especially at night.  At the breakfast the cheese was terrible."
"17","need for more entertainment during the week. my room had no safe and other facilities were inadequate."
"18","need for more entertainment during the week. my room had no safe and other facilities were inadequate."
"19","Nice room, friendly stuff"
"20","Nice room, friendly stuff"
"21","Was over priced and not even close to what the internet said it was gonna cost plus could not use the pool because there was a private event which pissed me off and I will never stay at your place again. because I figured  the pool use was in the cost of the room plus we were told it was 20 dollars to join the pool party but we were charged 40 to get in. I was very upset about my experence ."
"22","Was over priced and not even close to what the internet said it was gonna cost plus could not use the pool because there was a private event which pissed me off and I will never stay at your place again. because I figured  the pool use was in the cost of the room plus we were told it was 20 dollars to join the pool party but we were charged 40 to get in. I was very upset about my experence ."
"23","Great location"
"24","Great location"
"25","The receptionist was very blunt and rude when I asked a simple question about the availability of your smoking rooms.   The room was very dated and had holes in the walls and the beds were very uncomfortable. It was meant to be a superior room, I felt like we were put in the cheapest room.  Would not stay again."
"26","The receptionist was very blunt and rude when I asked a simple question about the availability of your smoking rooms.   The room was very dated and had holes in the walls and the beds were very uncomfortable. It was meant to be a superior room, I felt like we were put in the cheapest room.  Would not stay again."
"27","No sandy beach.    No fruits, poor choice of vegetables.    Poor animation, especially for children"
"28","No sandy beach.    No fruits, poor choice of vegetables.    Poor animation, especially for children"
"29","Friendly and helpfull staff."
"30","Food was not always warm enough, sometimes cold (especially French fries)."
"31","Friendly and helpfull staff."
"32","Food was not always warm enough, sometimes cold (especially French fries)."
"33","rooms were nice and clean. house keeping staff were very good. the gardeners did a wonderful job with the gardens keeping them well maintained. enjoyed out free on arrive spa. the staff attended to our request quickly."
"34","when we arrived in our taxi we had to unload our own bags as the staff stood around and watched. this did not leave a very good first impression."
"35","rooms were nice and clean. house keeping staff were very good. the gardeners did a wonderful job with the gardens keeping them well maintained. enjoyed out free on arrive spa. the staff attended to our request quickly."
"36","when we arrived in our taxi we had to unload our own bags as the staff stood around and watched. this did not leave a very good first impression."
"37","The courteous friendliness of the staff, quality of the food and the Arabic architecture all help to make this complex very special.  I try to make the time to visit each time that I am in Dubai"
"38","The courteous friendliness of the staff, quality of the food and the Arabic architecture all help to make this complex very special.  I try to make the time to visit each time that I am in Dubai"
"39","Amazing hotel near the centre. The hostess was extremely friendly and helpful - she really made the stay special. Would definitely stay there again! "
"40","Amazing hotel near the centre. The hostess was extremely friendly and helpful - she really made the stay special. Would definitely stay there again! "
"41","Very nice reception, easy to fined, only 15-20 mins drive into Liverpool 30 mins to Manchester, good parking spaces. very clean, no bath, but large walk-in shower was excellent."
"42","The only negative was the bed and pillows, I found the bed hard, but that is a personal choice, the pillows were flat and hard and I asked at reception to have them changed, but nothing happened, I was only there 2 nights so it was not a great deal. "
"43","Very nice reception, easy to fined, only 15-20 mins drive into Liverpool 30 mins to Manchester, good parking spaces. very clean, no bath, but large walk-in shower was excellent."
"44","The only negative was the bed and pillows, I found the bed hard, but that is a personal choice, the pillows were flat and hard and I asked at reception to have them changed, but nothing happened, I was only there 2 nights so it was not a great deal. "
"45","Absolutely outstanding in every  possible. We've stayed at a number of five star hotels around the globe and this experience was by far and away the best. Perfect in every ! I don't normally do surveys either, but simply had to for Grosvenor House!"
"46","Absolutely outstanding in every  possible. We've stayed at a number of five star hotels around the globe and this experience was by far and away the best. Perfect in every ! I don't normally do surveys either, but simply had to for Grosvenor House!"
"47","The hotel  may not be modern but it has character and charm.  The room we had (superior) was small but adequate.  The bedroom and bathroom were clean, the bed was comfy, there were coffee making facilities in the room, free wi-fi - what more do you need on a city break.  The staff were pleasant, anything you need you only had to ask.  There was a good variety on the breakfast buffet - cereals, yoghurt, fruit, meats, cheeses, salad, breads and croissants, and of course Danish pastries - and all of good quality.  The hotel allowed us to leave our luggage on the day of departure and we came to collect it just before we needed to leave for the airport.  All in all, I thought the hotel was lovely and really enjoyed our stay here."
"48","The hotel  may not be modern but it has character and charm.  The room we had (superior) was small but adequate.  The bedroom and bathroom were clean, the bed was comfy, there were coffee making facilities in the room, free wi-fi - what more do you need on a city break.  The staff were pleasant, anything you need you only had to ask.  There was a good variety on the breakfast buffet - cereals, yoghurt, fruit, meats, cheeses, salad, breads and croissants, and of course Danish pastries - and all of good quality.  The hotel allowed us to leave our luggage on the day of departure and we came to collect it just before we needed to leave for the airport.  All in all, I thought the hotel was lovely and really enjoyed our stay here."
"49","Very nice hotel. Clean rooms, nice swimming pool and good facilities."
"50","The breakfast is not up to standard to this hotel. The fried eggs are only warm when put in the tray, the bread isn't fresh and the toaster only has a timer end no control for heat. It happened more than once that the water for tea was not available anymore and the staff to refill was nowhere to be seen."
"51","Very nice hotel. Clean rooms, nice swimming pool and good facilities."
"52","The breakfast is not up to standard to this hotel. The fried eggs are only warm when put in the tray, the bread isn't fresh and the toaster only has a timer end no control for heat. It happened more than once that the water for tea was not available anymore and the staff to refill was nowhere to be seen."
"53","Great place to stay, convenient for road network, friendly and clean "
"54","Great place to stay, convenient for road network, friendly and clean "
"55","location of the hotel is great, very central and close to the tube. "
"56","The double bed was 2 singles pushed together.. which were very uncomfortable and very unsuitable! when booking a double i would expect a double bed to be standard!!  We paid extra for the full English breakfast which i would not recommend, not very tasty at all. the bacon was the cheapest streaky bacon and the sausages were like beef sausages i think?? quite vile!! "
"57","location of the hotel is great, very central and close to the tube. "
"58","The double bed was 2 singles pushed together.. which were very uncomfortable and very unsuitable! when booking a double i would expect a double bed to be standard!!  We paid extra for the full English breakfast which i would not recommend, not very tasty at all. the bacon was the cheapest streaky bacon and the sausages were like beef sausages i think?? quite vile!! "
"59","Close to the airport, friendly service, good value"
"60","Close to the airport, friendly service, good value"
"61","Expensive.  Was upset that i was not allowed to go to the Pa;ace to take pictures.  Was on my honeymoon, was not made to feel special at all.  "
