form	lemma	POS	register
ฯ	ฯ	abbreviator	formal
กระจ่างแจ้ง	กระจ่างแจ้ง	adjective	formal
กลับกลอก	กลับกลอก	adjective	formal
กองกลาง	กองกลาง	adjective	formal
กังวล	กังวล	adjective	formal
กาลี	กาลี	adjective	formal
ก้าวหน้า	ก้าวหน้า	adjective	formal
กำกวม	กำกวม	adjective	formal
กึ่งอัตโนมัติ	กึ่งอัตโนมัติ	adjective	formal
เก๊	เก๊	adjective	formal
เก๋	เก๋	adjective	formal
เกรอะกรัง	เกรอะกรัง	adjective	formal
โกรธจัด	โกรธจัด	adjective	formal
ใกล้เคียง	ใกล้เคียง	adjective	formal
ขัน	ขัน	adjective	formal
ข้างน้อย	ข้างน้อย	adjective	formal
ขาดวิ่น	ขาดวิ่น	adjective	formal
ขายหน้า	ขายหน้า	adjective	formal
ขาวผ่อง	ขาวผ่อง	adjective	formal
ขี้กลัว	ขี้กลัว	adjective	formal
ขี้ตืด	ขี้ตืด	adjective	informal
ขี้ประติ๋ว	ขี้ประติ๋ว	adjective	formal
ขี้ลืม	ขี้ลืม	adjective	formal
เข	เข	adjective	formal
เข้มข้น	เข้มข้น	adjective	formal
เขิน	เขิน	adjective	formal
โขง	โขง	adjective	formal
คนเก่า	คนเก่า	adjective	informal
คมกล้า	คมกล้า	adjective	formal
ครบ	ครบ	adjective	formal
คลุ้ง	คลุ้ง	adjective	formal
คว้าน้ำเหลว	คว้าน้ำเหลว	adjective	formal
คุ้น	คุ้น	adjective	formal
เคร่งครัด	เคร่งครัด	adjective	formal
ฆราวาส	ฆราวาส	adjective	formal
งามสง่า	งามสง่า	adjective	formal
เงอะ	เงอะ	adjective	formal
เงียบ	เงียบ	adjective	formal
จัดเจน	จัดเจน	adjective	formal
จิตใจต่ำทราม	จิตใจต่ำทราม	adjective	formal
จิ๋ว	จิ๋ว	adjective	formal
เจน	เจน	adjective	formal
ใจต่ำ	ใจต่ำ	adjective	formal
ใจทราม	ใจทราม	adjective	formal
ใจมาร	ใจมาร	adjective	formal
ใจไม้ไส้ระกำ	ใจไม้ไส้ระกำ	adjective	formal
ฉมัง	ฉมัง	adjective	formal
เฉพาะถิ่น	เฉพาะถิ่น	adjective	formal
เฉื่อย	เฉื่อย	adjective	formal
เฉื่อยแฉะ	เฉื่อยแฉะ	adjective	formal
แฉก	แฉก	adjective	formal
